Garfield	4	27	Cula4	The mice that live at Jon's house come out of hiding each night to watch TV. 	Tagann na lucha atá ag fanacht Tigh Jon amach gach oíche chun féachaint ar an teilifís.
Ros na Rún	22	28	Drama	Vanessa is absolutely distraught at the idea that Niall has done unspeakable things to Fia. Máire does her very best to keep Niall away from Vanessa.	Tá Vanessa croíbhriste faoin méid a tharla idir Niall agus Fia. Tá sí den tuiscint gur éignigh Niall Fia. Tá Mack ar mhuin na muice tar éis an oíche a chaitheamh in éineacht le Dee. Tá sé ag ceapadh anois go mbeidh cúrsaí mar is ceart eatarthu arís. Ach faraor ní cosúil go bhfuil sise ar aon aigne.
Ros na Rún	22	27	Drama	Evan gives Niall the cold shoulder, but it isn't long until Niall's fury escalates when Evan lets it slip that he knew all along that Niall was Liam Óg's father. Niall makes the heart clenching decisi	Tá Evan ag déanamh neamhaird ar Niall ach ní fada go dtuigeann Niall go raibh a fhios ag Evan i gcónaí gurb é athair Liam Óig é. Socraíonn Niall an fhírinne a insint do Vanessa ach céard a cheapfaidh Fia faoi sin? Tá imní ar Phádraig go gcaillfidh sé a jab. Is léir gur ag insint bréag a bhí Katy faoi mar a bhí an saol sa Spáinn ach tá deacrachtaí aici anois cuimhneamh ar na bréaga atá inste aici.
Ros na Rún	22	26	Drama	After a shocking conversation with Fia, Pól realises the truth about Liam Óg's biological father. In a heated conversation Pól gets angry with Niall and reveals the big secret. This leaves a dumbfound	Tá a fhios ag Pól anois cé hé athair Liam Óig agus insíonn do Niall é le linn achrainn lena chéile. Baineann an scéal an chaint de Niall. Tá Katy ar ais i Ros na Rún agus í ag obair Tigh Gaudi. Ní maith léi go mbeadh a fhios ag aon duine chomh dona is atá cúrsaí idir í féin agus Jason. Is beag nach bhfaightear greim ar Maggie agus ar Thadhg in éineacht san áit a mbídís ag casadh lena chéile fadó.
Ros na Rún	22	25	Drama	Everything is all going to plan for Fia, and she is convinced that Vanessa will be leaving without delay. That is, until Vanessa and Niall have a change of heart. Things begin to heat up when a conver	Tá Fia cinnte anois gur gearr go mbeidh Vanessa ag imeacht agus tá sí thar a bheith sásta faoi. Is beag atá a fhios aici go bhfuil sé beartaithe ag Vanessa agus Niall fanacht tamall eile. Bíonn duine éigin ag cúléisteacht ar chomhrá idir Fia agus Evan agus tá rún ag an té anois leas a bhaint as an eolas. Cé go bhfuil fainic curtha ar Maggie agus ar Thadhg fanacht amach óna chéile, is léir nach bhfuil siad in ann é sin a dhéanamh. Baintear siar as Bobbi Lee é nuair a fhaigheann sí pictiúr mealltach ó Bhriain ach meas tú an aicise a bhí sé i gceist an pictiúr sin a sheoladh?
Ros na Rún	22	24	Drama	The minute Mo thought she had things under control; it all takes a turn for the worst. Could the solution to all her problems be as simple as some male company or will this drive her anxiety through t	Díreach nuair a cheap Mo go raibh cúrsaí faoi smacht aici, tarlaíonn rud éigin eile. An ndéanfadh comhluadar fir maith do Mo meas tú? Ba mhaith le Mack go mbeadh Dee níos compordaí i measc a chairde arís. Tá Gráinne éirithe as ag fiosrú faoi chúrsaí grá Berni ach an bhfaighidh a cuid fiosrachta an ceann is fearr uirthi?
Ros na Rún	22	23	Drama	Frances's suspicions are raised once again, when she realises that Maggie and Tadhg are spending a lot more time together than necessary. The bounce in Berni's step has not gone unnoticed by those in 	Tá amhras ar Frances arís faoi Maggie agus Thadhg ó tharla iad ag caitheamh an oiread ama in éineacht. Tá sé tugtha faoi deara ag muintir Ros na Rún go bhfuil Berni an-sásta na laethanta seo. Tá Gráinne cinnte go bhfuil fear ag Berni agus tá sí leis an scéal a fhiosrú. Níl Mo tagtha chuici féin fós ón ionsaí ach níl sí ag iarraidh dada a ligean uirthi féin le muintir an bhaile. An ndéanfaidh Mo dearmad ar an ionsaí go brách?
Ros na Rún	22	22	Drama	Frances' rage begins to boil with Maggie, after she once again crosses the line. After clear instruction from Frances, Maggie yet again refuses to follow her advice and throws it back in Frances' face	Tá Frances le ceangal le Maggie ach is beag aird atá ag Maggie uirthi. Tá Caitríona agus Muireann in árach a chéile. Tá bagartha anois ag Muireann ar Chaitríona agus tá an-imní go deo uirthi faoi. Tuigeann Adam anois nach bhfuil suim ar bith ag Pádraig ann ach tuigeann Pádraig freisin go raibh duine éigin i gcluas Adam. Tá a fhios ag Pádraig go maith cé a bhí ann.
Ros na Rún	22	21	Drama	Everything seems to be going to plan for Fia in her attempt to send Vanessa packing. Will her plans work out or will the tables turn for Fia and Vanessa? Berni tries to hide her true feelings for Bria	Is cosúil go bhfuil ag éirí go maith le plean Fhia leis an ruaig a chur ar Vanessa. An éireoidh le Fia nó an bhfaighidh Vanessa an ceann is fearr uirthi? Tá suim ag Berni i mBriain ach níl sí ag iarraidh go mbeadh a fhios aigesean é sin. Tá seisean cinnte go bhfuil suim aici ann ach an ndéanfaidh sé dada faoi? Is léir go bhfuil suim ag  Pádraig agus Adam ina chéile nó an bhfuil nó an é go bhfuil Adam á cheapadh?
Ros na Rún	22	20	Drama	Bobbi Lee tries to seduce Briain, but is shocked and stunned at how he responds. Priorities begin to click into place for Briain after this. Fia becomes disorientated when she notices that Vanessa has	Féachann Bobbi Lee le Briain a mhealladh ach ní mó ná sásta a bhíonn sí nuair a eitíonn sé í. Ní mó ná sásta atá Fia ach oiread go bhfuil Vanessa tagtha chun cúnamh a thabhairt di. Tuigeann Fia go gcaithfidh sí ligeann uirthi féin le Vanessa go bhfuil sí ag déanamh go maith le súil is go n-imeoidh sí. Ach an gcuirfear a plean in aer nuair a chasfar Pól uirthi? Tá Maggie ag éirí an-mhór le duine éigin - ach ní hé Tadhg é. Cén chaoi a n-aireoidh Tadhg faoi seo?
Ros na Rún	22	19	Drama	Fia's head has been all over the place, but reality sets in and she realises that she must turn her life around, for her herself and nobody else. Could the return of someone close to home for Fia, lea	Tá Fia fós trína chéile ach tuigeann sí freisin go gcaithfidh sí smacht a ghlacadh ar a saol. An dteastaíonn ó dhuine muinteartha le Fia filleadh ar Ros na Rún len í a chur ar an mbóthar ceart? Goilleann sé ar Thadhg a chloisteáil nach bhfuil an tsláinte go maith ag Maggie. Castar Adam agus Pádraig ar a chéile. Bíonn an bheirt acu cúthail agus míchompordach. An bhfuil suim acu ina chéile?
Ros na Rún	22	28	Drama	Vanessa is absolutely distraught at the idea that Niall has done unspeakable things to Fia. Máire does her very best to keep Niall away from Vanessa.	Tá Vanessa croíbhriste faoin méid a tharla idir Niall agus Fia. Tá sí den tuiscint gur éignigh Niall Fia. Tá Mack ar mhuin na muice tar éis an oíche a chaitheamh in éineacht le Dee. Tá sé ag ceapadh anois go mbeidh cúrsaí mar is ceart eatarthu arís. Ach faraor ní cosúil go bhfuil sise ar aon aigne.
Garfield	4	28	Cula4	When Liz's cousin comes to stay with Jon he puts Garfield on a diet in order to save money.	Cuireann Jon Garfield ar aiste bia chun airgead a shábháil mar go bhfuil col ceathrair Liz ag fanacht in éineacht leo.
Cat a' Hata	1	60	Cula4	Nick and Sally are playing when their ball gets caught up high in the branches of a tree. Oh how they wish they were tall!	Téann liathróid Nic agus Sailí i bhfostú sa chrann nuair a bhíonn siad ag imirt cluiche. Nach é an peaca é nach bhfuil siad ard.
Cat a' Hata	1	59	Cula4	It's Fish's birthday and Nick and Sally want to get him a special present but whom can they ask for ideas?	Inniu breithlá Iasc ach níl cliú ag Nic ná ag Sailí céard a gheobhaidh siad dó. Cé a thabharfaidh moltaí maithe dóibh?
Garfield	4	27	Cula4	The mice that live at Jon's house come out of hiding each night to watch TV. 	Tagann na lucha atá ag fanacht Tigh Jon amach gach oíche chun féachaint ar an teilifís.
Garfield	4	26	Cula4	When Dr. Whipple states that no one can have control over another person's dreams he makes little Nathan angry.	Cuireann sé olc ar Nathan nuair a deir an Dochtúir Whipple nach féidir le daoine cumhacht a bheith acu ar aislingí dhaoine eile.
Garfield	4	25	Cula4	When Garfield gets a special collar in the post, that will make dogs stop barking, he is delighted with himself! 	Nuair a fhaigheann Garfield coiléar speisialta sa phost, a stopann madraí ag tafann, bíonn sé thar a bheith sásta! 
Garfield	4	24	Cula4	When Dr. Bonkers makes a pair of glasses that can see into the future he is delighted with himself. 	Déanann an Dochtúir Bonkers spéaclaí speisialta ar féidir an todhchaí a fheiceáil leo agus bíonn sé thar a bheith sásta leis féin.
Garfield	4	23	Cula4	When Minerva and Drusilla come to visit it doesn't take long to realise that they are very sad about something.	Tá ní éigin ag cur isteach ar Minerva agus Drusilla.
Garfield	4	22	Cula4	Jon tells Garfield he's not allowed to watch horror films all night, but when Jon has to go out unexpectedly, Garfield does as he pleases.	Níl cead ag Garfield féachaint ar scannáin uafáis ach nuair nach bhfuil Jon ann, déanann Garfield a rogha rud.
Garfield	4	21	Cula4	Doc. Whipple puts a fear of cats in Garfield, which makes life very difficult for him.	Tá faitíos ar Garfield roimh chait á bhuíochas don Dochtúir Whipple. 
Garfield	4	20	Cula4	Garfield is depressed and thinks he makes no difference to the world. An old friend shows him what the world would look like without him.	Ceapann Garfield nach ndéanann sé difríocht ar bith don domhan. Féachann a chara le taispeáint dó go ndéanann sé difríocht. 
Garfield	4	19	Cula4	Renfrew is always complaining because he thinks cats have a better life than dogs, so the cats decide to teach him a lesson.	Bíonn Renfrew go síoraí ag cur de mar go gceapann sé go bhfuil saol níos fearr ag cait ná ag madraí, mar sin socraíonn na cait ceacht a mhúineadh dó.
Garfield	4	18	Cula4	Garfield thinks it's a good idea to create a copy of Jon so that Odie won't be lonely while he's away, but the idea gives him trouble rather than peace.	Cruthaíonn Garfield Jon eile sa chaoi is nach mbeidh Odie uaigneach nuair a bheidh Jon imithe, ach is mó trioblóid ná síocháin a tharraingíonn sé áfach.
Garfield	4	16	Cula4	The mice go on a hike but one young, talkative mouse gets left behind... with Garfield. Will he be able to put up with her for the day?

	Fágann na lucha luch bheag chainteach amháin ina ndiaidh in éineacht le Garfield agus iad amuigh ag siúl. An mbeidh sé in ann cur suas léi ar feadh an lae?
Cat a' Hata	1	60	Cula4	Nick and Sally are playing when their ball gets caught up high in the branches of a tree. Oh how they wish they were tall!	Téann liathróid Nic agus Sailí i bhfostú sa chrann nuair a bhíonn siad ag imirt cluiche. Nach é an peaca é nach bhfuil siad ard.
Cat a' Hata	1	59	Cula4	It's Fish's birthday and Nick and Sally want to get him a special present but whom can they ask for ideas?	Inniu breithlá Iasc ach níl cliú ag Nic ná ag Sailí céard a gheobhaidh siad dó. Cé a thabharfaidh moltaí maithe dóibh?
Cat a' Hata	1	58	Cula4	Nick and Sally are excited to jump in the giant puddle in their backyard-but it's gone! Where did it go?	Tá Nic agus Sailí ag súil go mór le léim isteach sa lochán uisce atá sa ngairdín - ach tá sé imithe. Cá ndeachaigh sé?
Cat a' Hata	1	57	Cula4	Nick and Sally are exploring how deep they can dig in the sandbox. 	Tá Nic agus Sailí ag iarraidh a fháil amach cé chomh domhain agus atá siad in ann tochailt sa mbosca gainimh. 
Cat a' Hata	1	56	Cula4	Sally and Nick are having fun trying out different moves when the Cat arrives to show them some cool moves of his own. 	Bíonn Sailí agus Nic ag triail gluaiseachtaí nua a dhéanamh nuair a thagann an Cat le gluaiseachtaí dá chuid féin.
Cat a' Hata	1	55	Cula4	Sally and Nick are pretending to be butterflies, but they're not very good at it! 	Tá Sailí agus Nic ag ligean orthu féin gur féileacáin iad, ach níl aon mhaith leo. 
Cat a' Hata	1	53	Cula4	Phew! It's hot outside! How are Sally and Nick going to stay cool?	Tá sé te taobh amuigh inniu, cén chaoi a bhfanfaidh Sailí agus Nic fuar? 
Cat a' Hata	1	52	Cula4	Nick has difficulty learning a "disappearing" magic trick. 	Níl Nic in ann a chleas draíochta a dhéanamh i gceart. 
Cat a' Hata	1	51	Cula4	Nick and Sally are trying out their new blue rubber boots but they keep getting stuck in the mud! 	Tá Nic agus Sailí ag caitheamh a gcuid buataisí nua ach tá siad ag dul i bhfostú sa bpuiteach. 
Cat a' Hata	1	50	Cula4	Nick and Sally are making Halloween masks, but they want to make them really scary! 	Tá maisc d'Oíche Shamhna á ndéanamh ag Sailí agus Nic agus tá siad ag iarraidh go mbeidh siad an-scanrúil.  
Cat a' Hata	1	49	Cula4	Nick's favourite smell is chocolate chip cookies! But what is Sally's? She's not sure. 	Is é an boladh atá ar bhrioscaí sceallaí seacláide an boladh is fearr le Nic, ach níl a fhios ag Sailí cén boladh is ansa léi féin.
Cat a' Hata	1	48	Cula4	Nick and Sally are trying to whistle but they just can't seem to get it right!	Níl Sailí ná Nic in ann feadaíl.
Ainmhithe Beaga Thart Orainn	2	10	Cula4	Today we take a look at more pet babies to see how they spend their afternoon.	Caithfimid súil ar mar a chaitheann tuilleadh ainmhithe óga atá ina bpeataí an tráthnóna.
Astroblast!	1	23	Cula4	Sputnik starts to make a lot of changes in the café, but her friends are not very happy with her because now they don't know where anything is!	Tá Sputnik ag déanamh go leor athruithe sa chaifé. Ní mó ná sásta atá a cuid cairde mar níl a fhios acu cá bhfuil dada anois. 
Dochreidte Gan Dabht	5	9	Cula4	Today we will see some extraordinary official world record attempts from around the world. Our competitors take on the challenge of the fastest 20m bum walk. Presented by Eoghan Ó Loideáin.	Seo é Dochreidte Gan Dabht, an clár ar a mbeidh na curiarrachtaí is aistí, is iontaí agus is dochreidte dá bhfaca tú riamh. An té is tapa a rachaidh 20m ar a dtóin is ea comórtas an lae inniu. Á chur i láthair ag Eoghan Ó Loideáin.
Astroblast!	1	21	Cula4	There are visitors coming to the spaceship today and everyone is trying their best to clean the place up, everyone except Radar that is!	Tá cuairteoirí ag teacht inniu agus tá gach duine ag glanadh na spásloinge, gach duine seachas Radar!
Astroblast!	1	19	Cula4	Today Halley is left in charge of the café all by herself! 	Tá Halley i gceannas ar an gcaifé léi féin inniu. 
Astroblast!	1	17	Cula4	Radar only wants to play one game and he wants all of his friends to play that game exactly as he tells them too.	Níl Radar ag iarraidh ach cluiche amháin a imirt agus tá sé ag iarraidh ar a chairde imirt de réir a chuid rialacha. 
Dochreidte Gan Dabht	5	8	Cula4	Today we will see some extraordinary official world record attempts from around the world including the furthest washing machine throw.  Presented by Eoghan Ó Loideáin.	Seo é Dochreidte Gan Dabht, an clár ar a mbeidh na curiarrachtaí is aistí, is iontaí agus is dochreidte dá bhfaca tú riamh. Beidh comórtas idir na hiomaitheoirí cé is faide a chaithfidh meaisín níocháin. Á chur i láthair ag Eoghan Ó Loideáin.
Dochreidte Gan Dabht	3	4	Cula4	This is Officially Amazing! Today we will see some extraordinary official world record attempts from around the world including real life cowboy Will Roberts. Will is attempting records involving guns	Seo é Dochreidte Gan Dabht, an clár ar a mbeidh na curiarrachtaí is aistí, is iontaí agus is dochreidte dá bhfaca tú riamh - an buachaill bó, Will Roberts ina measc a bheidh ag tabhairt faoi churiarrachtaí le gunnaí agus rópaí. Á chur i láthair ag Eoghan Ó Loideáin.
Dochreidte Gan Dabht	5	7	Cula4	This is Officially Amazing! Today we will see some extraordinary official world record attempts from around the world including the most skips while sitting, in one minute. Presented by Eoghan Ó Loide	Seo é Dochreidte Gan Dabht, an clár ar a mbeidh na curiarrachtaí is aistí, is iontaí agus is dochreidte dá bhfaca tú riamh. An líon is mó scipeanna a dhéanamh i do shuí síos i nóiméad amháin ina measc. Á chur i láthair ag Eoghan Ó Loideáin.
Dochreidte Gan Dabht	5	6	Cula4	This is Officially Amazing! Today we will see some extraordinary official world record attempts from around the world. The Moffatt brothers are back! Presented by Eoghan Ó Loideáin.	Seo é Dochreidte Gan Dabht, an clár ar a mbeidh na curiarrachtaí is aistí, is iontaí agus is dochreidte dá bhfaca tú riamh. Tá na deartháireacha Moffatt ar ais. Á chur i láthair ag Eoghan Ó Loideáin. 
Dochreidte Gan Dabht	3	3	Cula4	This is Officially Amazing! Today we will see some extraordinary official world record attempts from around the world including daring Alex and JD attempting some dangerous moves on the ice! Presented	Seo é Dochreidte Gan Dabht, an clár ar a mbeidh na curiarrachtaí is aistí, is iontaí agus is dochreidte dá bhfaca tú riamh - Alex agus JD ag tabhairt faoi churiarracht contúirteach ar oighear ina measc! Á chur i láthair ag Eoghan Ó Loideáin. 
Dochreidte Gan Dabht	5	5	Cula4	This is Officially Amazing! Today we will see some extraordinary official world record attempts from around the world like the most backward basketball three pointers in one minute. Presented by Eogha	Seo é Dochreidte Gan Dabht, an clár ar a mbeidh na curiarrachtaí is aistí, is iontaí agus is dochreidte dá bhfaca tú riamh. Féachfaidh duine amháin le curiarracht nua a bhaint amach i gcúrsaí cispheile anocht. Á chur i láthair ag Eoghan Ó Loideáin.
Dochreidte Gan Dabht	5	4	Cula4	This is Officially Amazing! Today we will see some extraordinary official world record attempts from around the world like the most eggs cracked with a bullwhip in one minute. Presented by Eoghan Ó Lo	Seo é Dochreidte Gan Dabht, an clár ar a mbeidh na curiarrachtaí is aistí, is iontaí agus is dochreidte dá bhfaca tú riamh. An líon is mó uibheacha a féidir a scoilteadh le tarbhlasc i nóiméad amháin ina measc. Á chur i láthair ag Eoghan Ó Loideáin.
Dochreidte Gan Dabht	5	3	Cula4	This is Officially Amazing! Today we will see some extraordinary official world record attempts from around the world like the fastest time to carry two fridges 20 metres. Presented by Eoghan Ó Loideá	Seo é Dochreidte Gan Dabht, an clár ar a mbeidh na curiarrachtaí is aistí, is iontaí agus is dochreidte dá bhfaca tú riamh. An duine is sciobtha atá in ann dhá chuisneoir a iompar ar feadh 20 méadar ina measc. Á chur i láthair ag Eoghan Ó Loideáin.
Dochreidte Gan Dabht	5	2	Cula4	This is Officially Amazing! Today we will see some extraordinary official world record attempts from around the world. Our competitors competition today is, most jelly fed to another person, with a sp	Seo é Dochreidte Gan Dabht, an clár ar a mbeidh na curiarrachtaí is aistí, is iontaí agus is dochreidte dá bhfaca tú riamh. Féachfaidh iomaitheoirí an lae inniu le glóthach a choinneáil le duine eile le spúnóg lena gcos. Á chur i láthair ag Eoghan Ó Loideáin.
Dochreidte Gan Dabht	3	1	Cula4	This is Officially Amazing! Today we will see some extraordinary official world record attempts from around the world. We meet Franky Zapata who is trying to beat a world record on a fly board! Presen	Seo é Dochreidte Gan Dabht, an clár ar a mbeidh na curiarrachtaí is aistí, is iontaí agus is dochreidte dá bhfaca tú riamh. Buailfimid le Franky Zapata atá ag iarraidh curiarracht a bhaint amach ar bhord eitilte! Á chur i láthair ag Eoghan Ó Loideáin. 
